heterogeneity,words,max_category,min_category,trials_practica.thisRepN,trials_practica.thisTrialN,trials_practica.thisN,trials_practica.thisIndex,palabra_practica.thisRepN,palabra_practica.thisTrialN,palabra_practica.thisN,palabra_practica.thisIndex,cuenta_math_loop.thisRepN,cuenta_math_loop.thisTrialN,cuenta_math_loop.thisN,cuenta_math_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,palabras.thisRepN,palabras.thisTrialN,palabras.thisN,palabras.thisIndex,math_cuenta2.thisRepN,math_cuenta2.thisTrialN,math_cuenta2.thisN,math_cuenta2.thisIndex,thisRow.t,notes,Bienvenida.started,welcome.started,key_resp.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instrucciones.started,instructions.started,key_resp_2.started,instrucciones.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,fixation_cross.started,fixation.stopped,word_practica.started,examiner_quit.started,word_practica_text.started,word_practica.stopped,examiner_quit.keys,examiner_quit.rt,examiner_quit.duration,word_practica_text.stopped,examiner_quit.stopped,free_recall.started,completion_textbox.started,text.started,key_resp_4.started,free_recall.stopped,completion_textbox.text,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,math.started,cuenta.started,cuenta_response.started,key_resp_7.started,text_4.started,math.stopped,cuenta_response.text,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,fin_practica.started,practice_end.started,key_resp_3.started,fin_practica.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,word.started,word_text.started,word_text.stopped,word.stopped,fixation_cross.stopped,fin.started,text_3.started,key_resp_6.started,fin.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04736369999955059,0.08231050000176765,0.08231050000176765,4.345340900003066,space,4.250023299999157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.345371600000362,4.35625440000149,4.35625440000149,5.429428300001746,space,1.0555586999980733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.0625,"cian,morado,jugar,verde,granate,negro,lavanda,turquesa,celeste,gris,dorado,azul,rosa,blanco,amarillo,marron",colors,verbs,0,0,0,2,,,,,,,,,,,,,,,,,,,,,13.238159200001974,,,,,,,,,,,,,,,,5.434015800001362,5.4637335000006715,6.441763400001946,10.726318299999548,10.739052200002334,10.939440199999808,10.943044700001337,q,0.18625849999807542,None,8.18900930000018,8.18900930000018,10.943492200000037,10.957292099999904,10.957292099999904,10.957292099999904,13.209769799999776,q,right,2.2399406999975326,None,13.214060600002995,13.238159200001974,13.238159200001974,13.238159200001974,13.238159200001974,14.8777719000027,,space,1.637922999998409,None,,,,,,,,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.375,"perro,aguila,lobo,dibujar,abrir,ensenar,saltar,reir,ballena,aprender,volar,beber,zorro,romper,comer,canguro",verbs,animals,0,1,1,1,,,,,,,,,,,,,,,,,,,,,19.87150649999967,,,,,,,,,,,,,,,,14.878350400002091,14.89084770000045,15.891051900001912,18.876216399999976,18.889702399999805,18.889702399999805,19.05859600000258,q,0.15561089999755495,None,,,19.05913800000053,19.0725151000006,19.0725151000006,19.0725151000006,19.843375899999955,qq,right,0.7563681999999972,None,19.847724200000812,19.87150649999967,19.87150649999967,19.87150649999967,19.87150649999967,21.109967399999732,,space,1.2290117000011378,None,,,,,,,,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.4375,"italia,beige,australia,uk,rosa,negro,noruega,rojo,mexico,marron,bolivia,usa,dorado,peru,portugal,gris",countries,colors,0,2,2,0,,,,,,,,,,,,,,,,,,,,,26.50549620000311,,,,,,,,,,,,,,,,21.1105263999998,21.123755800002982,22.12415619999956,25.49273610000091,25.50614350000251,25.705892699999822,25.692304200001672,q,0.1783821999997599,None,,,25.6926112000001,25.705892699999822,25.705892699999822,25.705892699999822,26.476798800002143,qq,right,0.762714299999061,None,26.481253100002505,26.50549620000311,26.50549620000311,26.50549620000311,26.50549620000311,27.34298789999957, ,space,0.8108757000009064,None,,,,,,,,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.3125,"estufa,tostadora,secador de pelo,microondas,higo,picadora,papaya,arandano,frambuesa,refrigerador,melocoton,plancha,televisor,extractor,lavavajillas,aspiradora",electro,fruits,0,3,3,3,,,,,,,,,,,,,,,,,,,,,32.705194900001516,,,,,,,,,,,,,,,,27.343692000002193,27.358544599999732,28.34372450000228,31.495252900000196,31.50616280000031,31.707072100001824,31.694020200000523,q,0.18635160000121687,None,,,31.694352000002254,31.707072100001824,31.707072100001824,31.707072100001824,32.67617750000136,qq,right,0.9624649999968824,None,32.68100990000312,32.705194900001516,32.705194900001516,32.705194900001516,32.705194900001516,33.29396199999974,,space,0.5796503000019584,None,,,,,,,,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.29439270000148,33.30752890000076,33.30752890000076,40.94401910000306,space,7.625388000000385,None,,,,,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.1875,"colibri,ballena,koala,buho,delfin,brasil,cocodrilo,francia,camello,rinoceronte,mono,tiburon,murcielago,panda,hipopotamo,canada",animals,countries,,,,,,,,,,,,,0,0,0,10,,,,,,,,,91.65523140000005,,,,,,,,,,,,,,,,40.94847810000283,40.97312260000035,42.003986100000475,,,,,,,,,,61.159275900001376,61.17218540000249,61.17218540000249,61.17218540000249,91.62556790000235,brasil.francia.canada.hipopotamo.colibri.buho.rinoceronte,right,30.450288100000762,None,91.62998499999958,91.65523140000005,91.65523140000005,91.65523140000005,91.65523140000005,94.27527330000157,15,space,2.6076148000029207,None,,,,,,,,59.94328099999984,60.157929400000285,59.955539300000964,61.159222000002046,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.0,"clarinete,bateria,acordeon,tuba,tambor,saxofon,bajo,fagot,trompeta,contrabajo,marimba,violin,banjo,guitarra,piano,arpa",instruments,colors,,,,,,,,,,,,,0,1,1,0,,,,,,,,,146.6710028000016,,,,,,,,,,,,,,,,94.27580410000155,94.2885488000029,95.27514549999978,,,,,,,,,,114.476150100003,114.49015240000153,114.49015240000153,114.49015240000153,146.64176360000056,piano.arpa.trompeta.bateria.tambor.banjo.marimba.clarinete,right,32.1343134000017,None,146.64610430000175,146.6710028000016,146.6710028000016,146.6710028000016,146.6710028000016,150.17471970000042,3,space,3.490111099999922,None,,,,,,,,113.29103800000303,113.48882940000112,114.49015240000153,114.4760967000002,95.28840260000288,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
0.0625,"refrigerador,deshumidificador,estufa,plancha,radiador,calentador,licuadora,microondas,tostadora,cortafiambres,aspiradora,cafetera,picadora,batidora,canguro,ventilador",electro,animals,,,,,,,,,,,,,0,2,2,5,,,,,,,,,191.12118770000234,,,,,,,,,,,,,,,,150.17525139999998,150.18818160000228,151.17644380000274,,,,,,,,,,170.37425050000093,170.38842800000202,170.38842800000202,170.38842800000202,191.09155140000075,canguro.ventilador.deshumidificador.cortafiambres.radiador,right,20.701229799997236,None,191.09563090000302,191.12118770000234,191.12118770000234,191.12118770000234,191.12118770000234,195.57555630000206,70,space,4.449033900000359,None,,,,,,,,169.17393150000134,169.38871830000062,170.38842800000202,170.374197000001,,,,,,,,,1,a,2024-09-07_02h06.19.808,FreeRecall,2024.1.5,None,2024-09-07 02h06.36.183978 -0300,
