heterogeneity,words,max_category,min_category,trials_practica.thisRepN,trials_practica.thisTrialN,trials_practica.thisN,trials_practica.thisIndex,palabra_practica.thisRepN,palabra_practica.thisTrialN,palabra_practica.thisN,palabra_practica.thisIndex,cuenta_math_loop.thisRepN,cuenta_math_loop.thisTrialN,cuenta_math_loop.thisN,cuenta_math_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,palabras.thisRepN,palabras.thisTrialN,palabras.thisN,palabras.thisIndex,math_cuenta2.thisRepN,math_cuenta2.thisTrialN,math_cuenta2.thisN,math_cuenta2.thisIndex,thisRow.t,notes,Bienvenida.started,welcome.started,key_resp.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instrucciones.started,instructions.started,key_resp_2.started,instrucciones.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,fixation_cross.started,fixation.stopped,word_practica.started,examiner_quit.started,word_practica_text.started,word_practica_text.stopped,word_practica.stopped,examiner_quit.keys,free_recall.started,completion_textbox.started,text.started,key_resp_4.started,free_recall.stopped,completion_textbox.text,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,math.started,cuenta.started,cuenta_response.started,key_resp_7.started,text_4.started,math.stopped,cuenta_response.text,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,examiner_quit.rt,examiner_quit.duration,fin_practica.started,practice_end.started,key_resp_3.started,fin_practica.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,word.started,word_text.started,word_text.stopped,word.stopped,fixation_cross.stopped,fin.started,text_3.started,key_resp_6.started,fin.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025424300001759548,0.05452200000217999,0.05452200000217999,5.395146300001215,space,5.221280099998694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.395213700001477,5.405066100000113,5.405066100000113,24.328091700001096,space,18.9198658000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.375,"perro,aguila,lobo,dibujar,abrir,ensenar,saltar,reir,ballena,aprender,volar,beber,zorro,romper,comer,canguro",verbs,animals,0,0,0,1,,,,,,,,,,,,,,,,,,,,,82.10592020000331,,,,,,,,,,,,,,,,24.37005670000144,24.388552100001107,25.34751700000197,43.34440050000194,43.355669900000066,43.53881220000039,44.539326200003416,44.54256750000059,None,44.54276000000027,44.57157340000049,44.57157340000049,44.57157340000049,82.02874030000021,perro.aguila.abrir.correr.lobo,right,37.44460750000144,None,82.05525750000015,82.10592020000331,82.10592020000331,82.10592020000331,82.10592020000331,104.27790770000138,"-2
",space,22.16715429999749,None,,,,,,,,,,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.4375,"italia,beige,australia,uk,rosa,negro,noruega,rojo,mexico,marron,bolivia,usa,dorado,peru,portugal,gris",countries,colors,0,1,1,0,,,,,,,,,,,,,,,,,,,,,148.89356890000272,,,,,,,,,,,,,,,,104.27896280000277,104.30388320000202,105.29032700000243,123.29404110000178,123.30532590000075,123.48823390000325,124.48953560000155,124.4923469000023,None,124.49254400000063,124.52035780000006,124.52035780000006,124.52035780000006,148.84348850000242,italia.uk.usa.noruega.negro.rosa.portugal.australia,right,24.320590600000287,None,148.8501279000011,148.89356890000272,148.89356890000272,148.89356890000272,148.89356890000272,154.64615820000108,7,space,5.736735999998928,None,,,,,,,,,,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.3125,"estufa,tostadora,secador de pelo,microondas,higo,picadora,papaya,arandano,frambuesa,refrigerador,melocoton,plancha,televisor,extractor,lavavajillas,aspiradora",electro,fruits,0,2,2,3,,,,,,,,,,,,,,,,,,,,,161.82069720000072,,,,,,,,,,,,,,,,154.64687570000024,154.6712441000018,155.65800380000292,159.3270020000018,159.3548471000031,159.53874570000335,,159.56051960000332,q,159.56104190000042,159.58838480000122,159.58838480000122,159.58838480000122,161.7933714000028,qq,right,2.1922782999972696,None,161.800076800002,161.82069720000072,161.82069720000072,161.82069720000072,161.82069720000072,162.77594780000072,,space,0.9432970999987447,None,0.1999680000008084,None,,,,,,,,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.0625,"cian,morado,jugar,verde,granate,negro,lavanda,turquesa,celeste,gris,dorado,azul,rosa,blanco,amarillo,marron",colors,verbs,0,3,3,2,,,,,,,,,,,,,,,,,,,,,168.27174330000344,,,,,,,,,,,,,,,,162.77695980000135,162.7944748000009,163.77841330000228,166.97914800000217,167.00468500000352,166.77263860000312,,167.15961980000066,q,167.16010940000342,167.1875022000022,167.1875022000022,167.1875022000022,168.22630830000344,qq,right,1.0226222000019334,None,168.23232530000314,168.27174330000344,168.27174330000344,168.27174330000344,168.27174330000344,169.19358940000166,,space,0.914281099998334,None,0.14611339999828488,None,,,,,,,,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.19429880000098,169.20515060000253,169.20515060000253,179.31054490000315,space,10.089575899997726,None,,,,,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.375,"caminar,cocodrilo,escuchar,reir,camello,comer,cocinar,saltar,llorar,jirafa,leon,construir,nadar,gato,aprender,colibri",verbs,animals,,,,,,,,,,,,,0,0,0,12,,,,,,,,,218.87231180000163,,,,,,,,,,,,,,,,179.32328080000298,179.3388128000006,180.33681160000197,,,,,,,199.5092715000028,199.53828580000118,199.53828580000118,199.53828580000118,218.84226330000092,caminar.escuchar.reir.gato.cocodrilo,right,19.296217899998737,None,218.84851810000328,218.87231180000163,218.87231180000163,218.87231180000163,218.87231180000163,227.24571200000355,-7 ,space,8.347160900000745,None,,,,,,,,,,198.32655930000328,198.5219685000011,199.53828580000118,199.50916180000058,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.3125,"peru,higo,durazno,ciruela,bolivia,ecuador,cereza,limon,melon,pina,arandano,maracuya,pera,paraguay,frutilla,brasil",fruits,countries,,,,,,,,,,,,,0,1,1,7,,,,,,,,,267.8863341000033,,,,,,,,,,,,,,,,227.24650420000035,227.2558261000013,228.25777520000338,,,,,,,247.4429427000032,247.47154480000245,247.47154480000245,247.47154480000245,267.85764050000216,peru.bolivia.higo.arandano.durazno.ecuador.brasil.,right,20.37402740000107,None,267.86237790000087,267.8863341000033,267.8863341000033,267.8863341000033,267.8863341000033,289.94224080000276,55,space,22.04968379999991,None,,,,,,,,,,246.25864400000137,246.45591270000295,247.47154480000245,247.44286530000318,,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
0.125,"egipto,volar,caminar,comer,grecia,jugar,pintar,romper,llorar,nadar,cantar,escribir,dormir,construir,viajar,dibujar",verbs,countries,,,,,,,,,,,,,0,2,2,15,,,,,,,,,334.89233870000317,,,,,,,,,,,,,,,,289.9428266000032,289.95371890000024,290.94176360000347,,,,,,,310.1578683000007,310.1874209000016,310.1874209000016,310.1874209000016,334.84371640000245,egipto.grecia.caminar.escuchar.llorar.nadar,right,24.65394980000201,None,334.85282070000176,334.89233870000317,334.89233870000317,334.89233870000317,334.89233870000317,341.0438213000016,12 ,space,6.119786600000225,None,,,,,,,,,,308.94779910000216,309.15718670000206,306.55469030000313,310.1578049000018,290.95500750000065,,,,,,,,2,a,2024-09-07_15h17.29.714,FreeRecall,2024.1.5,None,2024-09-07 15h17.42.723057 -0300,
