heterogeneity,words,max_category,min_category,trials_practica.thisRepN,trials_practica.thisTrialN,trials_practica.thisN,trials_practica.thisIndex,palabra_practica.thisRepN,palabra_practica.thisTrialN,palabra_practica.thisN,palabra_practica.thisIndex,cuenta_math_loop.thisRepN,cuenta_math_loop.thisTrialN,cuenta_math_loop.thisN,cuenta_math_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,palabras.thisRepN,palabras.thisTrialN,palabras.thisN,palabras.thisIndex,math_cuenta2.thisRepN,math_cuenta2.thisTrialN,math_cuenta2.thisN,math_cuenta2.thisIndex,thisRow.t,notes,Bienvenida.started,welcome.started,key_resp.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instrucciones.started,instructions.started,key_resp_2.started,instrucciones.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,fixation_cross.started,fixation.stopped,word_practica.started,examiner_quit.started,word_practica_text.started,word_practica_text.stopped,word_practica.stopped,examiner_quit.keys,free_recall.started,completion_textbox.started,text.started,key_resp_4.started,free_recall.stopped,completion_textbox.text,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,math.started,cuenta.started,cuenta_response.started,key_resp_7.started,text_4.started,math.stopped,cuenta_response.text,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,fixation_cross.stopped,examiner_quit.rt,examiner_quit.duration,fin_practica.started,practice_end.started,key_resp_3.started,fin_practica.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,word.started,word_text.started,word_text.stopped,word.stopped,fin.started,text_3.started,key_resp_6.started,fin.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036765500000910833,0.06388309999601915,0.06388309999601915,294.86420549999457,space,294.78334739999264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.86424049999914,294.87762299999304,294.87762299999304,300.5655875999946,space,5.684130900001037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.3125,"estufa,tostadora,secador de pelo,microondas,higo,picadora,papaya,arandano,frambuesa,refrigerador,melocoton,plancha,televisor,extractor,lavavajillas,aspiradora",electro,fruits,0,0,0,3,,,,,,,,,,,,,,,,,,,,,356.8859469000017,,,,,,,,,,,,,,,,300.5896686999913,300.594628699997,301.58065160000115,319.5807936999918,319.5942806999956,319.7771326999937,320.7771481999953,320.77994999999646,None,320.7801144999976,320.79367329999513,320.79367329999513,320.79367329999513,356.84662460000254,higo.estufa.tostadora,right,36.04013510000368,None,356.86655880000035,356.8859469000017,356.8859469000017,356.8859469000017,356.8859469000017,367.1324223999982,"-2
",space,10.236667899996974,None,,,,,,,,,,,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.4375,"italia,beige,australia,uk,rosa,negro,noruega,rojo,mexico,marron,bolivia,usa,dorado,peru,portugal,gris",countries,colors,0,1,1,0,,,,,,,,,,,,,,,,,,,,,372.6927088999946,,,,,,,,,,,,,,,,367.13304279999284,367.1439747999975,368.1298695000005,370.83099010000296,370.84354750000057,368.927245999992,,371.0140667999949,q,371.01474620000226,371.0266649999976,371.0266649999976,371.0266649999976,372.6647595999966,qq,right,1.6361928999976953,None,372.6698255999945,372.6927088999946,372.6927088999946,372.6927088999946,372.6927088999946,373.5141963999922,,space,0.8166822000057437,None,368.1442253999994,0.15930919999664184,None,,,,,,,,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.0625,"cian,morado,jugar,verde,granate,negro,lavanda,turquesa,celeste,gris,dorado,azul,rosa,blanco,amarillo,marron",colors,verbs,0,2,2,2,,,,,,,,,,,,,,,,,,,,,380.6443389999913,,,,,,,,,,,,,,,,373.5150740999961,373.5265512999904,374.51316560000123,376.9140095999901,376.92681239999365,374.7272920999967,,377.064936099996,q,377.06530249999196,377.0766409999924,377.0766409999924,377.0766409999924,380.6137799999997,qq,right,3.526641499993275,None,380.6185928999912,380.6443389999913,380.6443389999913,380.6443389999913,380.6443389999913,381.630848300003, ,space,0.975353299989365,None,374.52666509999835,0.1344262000056915,None,,,,,,,,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.375,"perro,aguila,lobo,dibujar,abrir,ensenar,saltar,reir,ballena,aprender,volar,beber,zorro,romper,comer,canguro",verbs,animals,0,3,3,1,,,,,,,,,,,,,,,,,,,,,387.77589469999657,,,,,,,,,,,,,,,,381.6314896999975,381.6443968999956,382.6303315999976,385.1812710999948,385.1934992000024,382.8435113000014,,385.36304219999874,q,385.36351229999855,385.37635589999263,385.37635589999263,385.37635589999263,387.7466252000013,qq ,right,2.3540212999942014,None,387.7514919999958,387.77589469999657,387.77589469999657,387.77589469999657,387.77589469999657,388.7469660999923,,space,0.9682539000059478,None,382.6433282999933,0.16077770000265446,None,,,,,,,,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.74748789999285,388.7603409000003,388.7603409000003,392.4641830999899,space,3.702197699996759,None,,,,,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.0625,"refrigerador,deshumidificador,estufa,plancha,radiador,calentador,licuadora,microondas,tostadora,cortafiambres,aspiradora,cafetera,picadora,batidora,canguro,ventilador",electro,animals,,,,,,,,,,,,,0,0,0,5,,,,,,,,,433.3617096999951,,,,,,,,,,,,,,,,392.48251770000206,392.4935751000012,393.4793117999943,,,,,,,412.66312240000116,412.6768027999933,412.6768027999933,412.6768027999933,433.33033799999976,ventilador.estufa.deshumidificador.picadora.tostadora,right,20.643992199999047,None,433.3468789000035,433.3617096999951,433.3617096999951,433.3617096999951,433.3617096999951,438.91428460000316,"0
",space,5.542055500001879,None,,,,,,,,,,,411.4642265000002,411.6767930999922,412.6768027999933,412.6630631000007,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.4375,"volar,kiwi,melon,mango,limon,pera,ciruela,correr,banana,bailar,pintar,caminar,beber,pensar,jugar,leer",verbs,fruits,,,,,,,,,,,,,0,1,1,8,,,,,,,,,491.60900460000266,,,,,,,,,,,,,,,,438.91497209999943,438.92702930000087,439.9127349999908,,,,,,,459.1133819999959,459.1263048999972,459.1263048999972,459.1263048999972,491.5803403000027,"caminar.pensar.bailar.beber.volar.kiwi.melocoton.arandano.pasear.frambuesa
 ",right,32.44898109999485,None,491.5850534999918,491.60900460000266,491.60900460000266,491.60900460000266,491.60900460000266,495.9645526999957,13,space,4.35225339999306,None,439.92635059999884,,,,,,,,,,457.91302279999945,458.12626140000066,459.1263048999972,459.11332519999996,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
0.125,"egipto,volar,caminar,comer,grecia,jugar,pintar,romper,llorar,nadar,cantar,escribir,dormir,construir,viajar,dibujar",verbs,countries,,,,,,,,,,,,,0,2,2,15,,,,,,,,,539.7254329999996,,,,,,,,,,,,,,,,495.96530070000154,495.9759696999972,496.96245229999477,,,,,,,516.1620865000004,516.1762370999932,516.1762370999932,516.1762370999932,539.6955470999965,dormir.viajar.sonar.egipto.grecia.caminar.vivir,right,23.512213699999847,None,539.7004878000007,539.7254329999996,539.7254329999996,539.7254329999996,539.7254329999996,543.7464545999974,11,space,4.016541400007554,None,496.9761887999921,,,,,,,,,,514.9787539999961,515.1763818000036,516.1762370999932,516.1620287999976,,,,,,,,3,a,2024-09-09_18h05.34.652,FreeRecall,2024.1.5,None,2024-09-09 18h06.20.837311 -0300,
